Geography,Contact Crime,Financial Year,Count
NC,Common Robbery,2015/2016,1348
NC,Common Robbery,2016/2017,1506
NC,Common Robbery,2017/2018,1285
NC,Common Robbery,2018/2019,1408
NC,Common Robbery,2019/2020,1437
NC,Common Robbery,2020/2021,1170
NC,Robbery With Aggravating Circumstances,2011/2012,967
NC,Robbery With Aggravating Circumstances,2012/2013,1239
NC,Robbery With Aggravating Circumstances,2013/2014,1402
NC,Robbery With Aggravating Circumstances,2014/2015,1446
NC,Robbery With Aggravating Circumstances,2015/2016,1387
NC,Robbery With Aggravating Circumstances,2016/2017,1505
NC,Robbery With Aggravating Circumstances,2017/2018,1639
NC,Robbery With Aggravating Circumstances,2018/2019,1780
NC,Robbery With Aggravating Circumstances,2019/2020,1643
NC,Robbery With Aggravating Circumstances,2020/2021,1426
WC,Murder,2011/2012,2293
WC,Murder,2012/2013,2575
WC,Murder,2013/2014,2904
WC,Murder,2014/2015,3186
WC,Murder,2015/2016,3224
WC,Murder,2016/2017,3311
WC,Murder,2017/2018,3729
WC,Murder,2018/2019,3974
WC,Murder,2019/2020,3975
WC,Murder,2020/2021,3848
WC,Sexual Offences,2011/2012,8809
WC,Sexual Offences,2012/2013,8440
WC,Sexual Offences,2013/2014,7760
WC,Sexual Offences,2014/2015,7369
WC,Sexual Offences,2015/2016,7130
WC,Sexual Offences,2016/2017,7115
WC,Sexual Offences,2017/2018,7075
WC,Sexual Offences,2018/2019,7043
WC,Sexual Offences,2019/2020,7303
WC,Sexual Offences,2020/2021,6437
WC,Attempted Murder,2011/2012,2310
WC,Attempted Murder,2012/2013,3268
WC,Attempted Murder,2013/2014,3345
WC,Attempted Murder,2014/2015,3727
WC,Attempted Murder,2015/2016,3444
WC,Attempted Murder,2016/2017,3387
WC,Attempted Murder,2017/2018,3698
WC,Attempted Murder,2018/2019,3860
WC,Attempted Murder,2019/2020,3555
WC,Attempted Murder,2020/2021,4143
WC,Assault With The Intent To Inflict Grievous Bodily Harm,2011/2012,24637
WC,Assault With The Intent To Inflict Grievous Bodily Harm,2012/2013,24463
WC,Assault With The Intent To Inflict Grievous Bodily Harm,2013/2014,24806
WC,Assault With The Intent To Inflict Grievous Bodily Harm,2014/2015,26200
WC,Assault With The Intent To Inflict Grievous Bodily Harm,2015/2016,25539
WC,Assault With The Intent To Inflict Grievous Bodily Harm,2016/2017,24417
WC,Assault With The Intent To Inflict Grievous Bodily Harm,2017/2018,23583
WC,Assault With The Intent To Inflict Grievous Bodily Harm,2018/2019,24488
WC,Assault With The Intent To Inflict Grievous Bodily Harm,2019/2020,23753
WC,Assault With The Intent To Inflict Grievous Bodily Harm,2020/2021,19452
WC,Common Assault,2011/2012,34423
WC,Common Assault,2012/2013,35517
WC,Common Assault,2013/2014,37183
WC,Common Assault,2014/2015,39150
WC,Common Assault,2015/2016,41304
WC,Common Assault,2016/2017,39868
WC,Common Assault,2017/2018,38579
WC,Common Assault,2018/2019,39202
WC,Common Assault,2019/2020,38992
WC,Common Assault,2020/2021,33857
WC,Common Robbery,2011/2012,11090
WC,Common Robbery,2012/2013,12402
WC,Common Robbery,2013/2014,13107
WC,Common Robbery,2014/2015,13420
WC,Common Robbery,2015/2016,12485
WC,Common Robbery,2016/2017,12574
WC,Common Robbery,2017/2018,12003
WC,Common Robbery,2018/2019,11355
WC,Common Robbery,2019/2020,11381
WC,Common Robbery,2020/2021,7354
WC,Robbery With Aggravating Circumstances,2011/2012,13739
WC,Robbery With Aggravating Circumstances,2012/2013,16681
WC,Robbery With Aggravating Circumstances,2013/2014,19484
WC,Robbery With Aggravating Circumstances,2014/2015,23116
WC,Robbery With Aggravating Circumstances,2015/2016,23732
WC,Robbery With Aggravating Circumstances,2016/2017,24032
WC,Robbery With Aggravating Circumstances,2017/2018,24329
WC,Robbery With Aggravating Circumstances,2018/2019,24065
WC,Robbery With Aggravating Circumstances,2019/2020,24549
WC,Robbery With Aggravating Circumstances,2020/2021,19050
ZA,Murder,2021/2022,25181
ZA,Sexual Offences,2021/2022,52694
ZA,Attempted Murder,2021/2022,22095
ZA,Assault With The Intent To Inflict Grievous Bodily Harm,2021/2022,162842
ZA,Common Assault,2021/2022,169963
ZA,Common Robbery,2021/2022,41600
ZA,Robbery With Aggravating Circumstances,2021/2022,132788
EC,Murder,2021/2022,4407
EC,Sexual Offences,2021/2022,8404
EC,Attempted Murder,2021/2022,2155
EC,Assault With The Intent To Inflict Grievous Bodily Harm,2021/2022,22933
EC,Common Assault,2021/2022,13930
EC,Common Robbery,2021/2022,2836
EC,Robbery With Aggravating Circumstances,2021/2022,11916
FS,Murder,2021/2022,992
FS,Sexual Offences,2021/2022,3416
FS,Attempted Murder,2021/2022,890
FS,Assault With The Intent To Inflict Grievous Bodily Harm,2021/2022,10933
FS,Common Assault,2021/2022,14006
FS,Common Robbery,2021/2022,1738
FS,Robbery With Aggravating Circumstances,2021/2022,4381
GT,Murder,2021/2022,5570
GT,Sexual Offences,2021/2022,11178
GT,Attempted Murder,2021/2022,5309
GT,Assault With The Intent To Inflict Grievous Bodily Harm,2021/2022,37731
GT,Common Assault,2021/2022,47031
GT,Common Robbery,2021/2022,14507
GT,Robbery With Aggravating Circumstances,2021/2022,49700
KZN,Murder,2021/2022,6495
KZN,Sexual Offences,2021/2022,9617
KZN,Attempted Murder,2021/2022,5917
KZN,Assault With The Intent To Inflict Grievous Bodily Harm,2021/2022,26518
KZN,Common Assault,2021/2022,24843
KZN,Common Robbery,2021/2022,6438
KZN,Robbery With Aggravating Circumstances,2021/2022,23897
LIM,Murder,2021/2022,1012
LIM,Sexual Offences,2021/2022,4309
LIM,Attempted Murder,2021/2022,1102
LIM,Assault With The Intent To Inflict Grievous Bodily Harm,2021/2022,12192
LIM,Common Assault,2021/2022,9534
LIM,Common Robbery,2021/2022,2618
LIM,Robbery With Aggravating Circumstances,2021/2022,6923
MP,Murder,2021/2022,1201
MP,Sexual Offences,2021/2022,3553
MP,Attempted Murder,2021/2022,1401
MP,Assault With The Intent To Inflict Grievous Bodily Harm,2021/2022,10588
MP,Common Assault,2021/2022,8481
MP,Common Robbery,2021/2022,2011
MP,Robbery With Aggravating Circumstances,2021/2022,8864
NW,Murder,2021/2022,1029
NW,Sexual Offences,2021/2022,3737
NW,Attempted Murder,2021/2022,872
NW,Assault With The Intent To Inflict Grievous Bodily Harm,2021/2022,13029
NW,Common Assault,2021/2022,9391
NW,Common Robbery,2021/2022,2232
NW,Robbery With Aggravating Circumstances,2021/2022,6492
NC,Murder,2021/2022,366
NC,Sexual Offences,2021/2022,1317
NC,Attempted Murder,2021/2022,780
NC,Assault With The Intent To Inflict Grievous Bodily Harm,2021/2022,7017
NC,Common Assault,2021/2022,5045
NC,Common Robbery,2021/2022,999
NC,Robbery With Aggravating Circumstances,2021/2022,1323
WC,Murder,2021/2022,4109
WC,Sexual Offences,2021/2022,7163
WC,Attempted Murder,2021/2022,3669
WC,Assault With The Intent To Inflict Grievous Bodily Harm,2021/2022,21901
WC,Common Assault,2021/2022,37702
WC,Common Robbery,2021/2022,8221
WC,Robbery With Aggravating Circumstances,2021/2022,19292
ZA,Murder,2022/2023,27272
ZA,Sexual Offences,2022/2023,53888
ZA,Attempted Murder,2022/2023,24939
ZA,Assault With The Intent To Inflict Grievous Bodily Harm,2022/2023,169558
ZA,Robbery With Aggravating Circumstances,2022/2023,145934
EC,Murder,2022/2023,5126
EC,Sexual Offences,2022/2023,8361
EC,Attempted Murder,2022/2023,2527
EC,Assault With The Intent To Inflict Grievous Bodily Harm,2022/2023,24244
EC,Robbery With Aggravating Circumstances,2022/2023,12984
FS,Murder,2022/2023,970
FS,Sexual Offences,2022/2023,3442
FS,Attempted Murder,2022/2023,1319
FS,Assault With The Intent To Inflict Grievous Bodily Harm,2022/2023,12033
FS,Robbery With Aggravating Circumstances,2022/2023,4599
GT,Murder,2022/2023,6346
GT,Sexual Offences,2022/2023,11160
GT,Attempted Murder,2022/2023,6119
GT,Assault With The Intent To Inflict Grievous Bodily Harm,2022/2023,38178
GT,Robbery With Aggravating Circumstances,2022/2023,53558
KZN,Murder,2022/2023,6890
KZN,Sexual Offences,2022/2023,10160
KZN,Attempted Murder,2022/2023,6243
KZN,Assault With The Intent To Inflict Grievous Bodily Harm,2022/2023,26479
KZN,Robbery With Aggravating Circumstances,2022/2023,26729
LIM,Murder,2022/2023,998
LIM,Sexual Offences,2022/2023,4715
LIM,Attempted Murder,2022/2023,1081
LIM,Assault With The Intent To Inflict Grievous Bodily Harm,2022/2023,13215
LIM,Robbery With Aggravating Circumstances,2022/2023,8013
MP,Murder,2022/2023,1335
MP,Sexual Offences,2022/2023,3321
MP,Attempted Murder,2022/2023,1421
MP,Assault With The Intent To Inflict Grievous Bodily Harm,2022/2023,10758
MP,Robbery With Aggravating Circumstances,2022/2023,8953
NW,Murder,2022/2023,1102
NW,Sexual Offences,2022/2023,3888
NW,Attempted Murder,2022/2023,1029
NW,Assault With The Intent To Inflict Grievous Bodily Harm,2022/2023,14388
NW,Robbery With Aggravating Circumstances,2022/2023,7097
NC,Murder,2022/2023,391
NC,Sexual Offences,2022/2023,1531
NC,Attempted Murder,2022/2023,1697
NC,Assault With The Intent To Inflict Grievous Bodily Harm,2022/2023,6803
NC,Robbery With Aggravating Circumstances,2022/2023,1571
WC,Murder,2022/2023,4114
WC,Sexual Offences,2022/2023,7310
WC,Attempted Murder,2022/2023,3503
WC,Assault With The Intent To Inflict Grievous Bodily Harm,2022/2023,23460
WC,Robbery With Aggravating Circumstances,2022/2023,22430
ZA,Common Assault,2022/2023,184983
ZA,Common Robbery,2022/2023,47085
EC,Common Assault,2022/2023,15039
EC,Common Robbery,2022/2023,2910
FS,Common Assault,2022/2023,15518
FS,Common Robbery,2022/2023,1948
GT,Common Assault,2022/2023,50805
GT,Common Robbery,2022/2023,15671
KZN,Common Assault,2022/2023,25844
KZN,Common Robbery,2022/2023,7571
LIM,Common Assault,2022/2023,10883
LIM,Common Robbery,2022/2023,3237
MP,Common Assault,2022/2023,8757
MP,Common Robbery,2022/2023,2020
NW,Common Assault,2022/2023,10588
NW,Common Robbery,2022/2023,2550
NC,Common Assault,2022/2023,5732
NC,Common Robbery,2022/2023,1105
WC,Common Assault,2022/2023,41817
WC,Common Robbery,2022/2023,10073
